Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game],Adelaide [Game by Game]
#,Player,GM,KI,MK,HB,DI,DA,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P,SU
18,"Betts, Eddie",22,167,53,123,290,13.18,51.0,22.0,,74.0,8.0,37.0,30.0,39.0,19.0,16.0,4.0,149.0,136,3.0,29.0,21,8.0,29.0,87.7,
1,"Podsiadly, James",21,189,119,101,290,13.81,26.0,14.0,2.0,37.0,17.0,52.0,2.0,63.0,14.0,25.0,4.0,132.0,165,41.0,35.0,60,1.0,16.0,90.1,
16,"Brown, Luke",22,138,55,148,286,13.0,1.0,1.0,,54.0,37.0,16.0,8.0,18.0,13.0,5.0,,81.0,205,1.0,1.0,42,1.0,4.0,84.5,
2,"Crouch, Brad",11,125,26,147,272,24.73,5.0,6.0,1.0,61.0,22.0,40.0,56.0,30.0,8.0,6.0,,114.0,156,1.0,2.0,17,9.0,6.0,83.7,0/1
36,"Martin, Brodie",17,155,65,109,264,15.53,8.0,15.0,,45.0,30.0,38.0,23.0,40.0,13.0,11.0,,97.0,174,7.0,12.0,34,11.0,4.0,69.2,2/1
12,"Talia, Daniel",22,167,105,93,260,11.82,,1.0,,24.0,45.0,25.0,,29.0,11.0,12.0,,79.0,183,13.0,,149,1.0,2.0,90.0,0/1
29,"Laird, Rory",16,126,65,129,255,15.94,2.0,2.0,,37.0,21.0,34.0,15.0,31.0,8.0,8.0,,81.0,177,1.0,1.0,25,2.0,2.0,75.4,2/0
4,"Jenkins, Josh",20,170,86,64,234,11.7,40.0,26.0,55.0,27.0,13.0,46.0,11.0,36.0,12.0,8.0,3.0,97.0,140,21.0,32.0,48,10.0,7.0,90.6,
13,"Walker, Taylor",15,138,84,82,220,14.67,34.0,22.0,,24.0,,50.0,,47.0,10.0,21.0,5.0,102.0,120,23.0,31.0,20,,17.0,90.3,
3,"Reilly, Brent",10,130,65,63,193,19.3,,,,19.0,32.0,17.0,8.0,30.0,3.0,13.0,,46.0,139,7.0,,19,24.0,1.0,81.0,
17,"Kerridge, Sam",14,72,33,84,156,11.14,10.0,1.0,,52.0,10.0,23.0,26.0,25.0,3.0,14.0,,54.0,97,2.0,9.0,9,4.0,5.0,83.7,0/1
25,"Rutten, Ben",14,72,52,80,152,10.86,1.0,,,24.0,19.0,9.0,3.0,12.0,4.0,8.0,,39.0,114,3.0,,61,3.0,,77.7,0/4
45,"Henderson, Ricky",8,91,37,44,135,16.88,,2.0,,7.0,24.0,18.0,3.0,20.0,7.0,5.0,,31.0,105,1.0,1.0,20,4.0,,83.6,
31,"Lyons, Jarryd",10,79,22,54,133,13.3,7.0,4.0,,25.0,10.0,28.0,24.0,17.0,6.0,3.0,,74.0,56,3.0,5.0,12,,1.0,62.5,4/0
44,"Crouch, Matt",8,63,26,69,132,16.5,3.0,2.0,,26.0,13.0,10.0,15.0,9.0,6.0,3.0,,43.0,90,1.0,2.0,6,1.0,1.0,52.4,3/2
22,"Otten, Andy",10,63,33,56,119,11.9,,,,20.0,19.0,17.0,3.0,13.0,2.0,4.0,,32.0,92,5.0,,46,1.0,2.0,84.0,
27,"Lynch, Tom",8,68,35,41,109,13.63,7.0,7.0,,13.0,7.0,17.0,2.0,7.0,9.0,3.0,,41.0,68,7.0,4.0,4,,7.0,60.3,1/2
41,"Hartigan, Kyle",7,56,41,50,106,15.14,,,,9.0,13.0,6.0,2.0,17.0,2.0,7.0,,32.0,76,6.0,,37,1.0,,92.1,
38,"Grigg, Mitch",9,67,25,38,105,11.67,6.0,6.0,,15.0,9.0,20.0,14.0,14.0,9.0,5.0,,43.0,62,2.0,6.0,7,4.0,3.0,53.1,6/0
34,"Shaw, Sam",6,39,18,26,65,10.83,,,,14.0,10.0,10.0,1.0,9.0,3.0,3.0,,22.0,42,2.0,,28,,1.0,83.0,0/1
23,"Petrenko, Jared",5,39,11,25,64,12.8,5.0,6.0,,25.0,,13.0,7.0,6.0,4.0,3.0,,30.0,31,1.0,3.0,5,3.0,2.0,79.2,
42,"Cameron, Charlie",7,36,11,26,62,8.86,9.0,10.0,,24.0,2.0,10.0,1.0,10.0,4.0,5.0,,32.0,35,,8.0,7,3.0,3.0,78.1,
6,"Thompson, Luke",6,27,17,27,54,9.0,,,,14.0,14.0,3.0,2.0,7.0,3.0,3.0,,18.0,36,3.0,,31,1.0,,89.5,
40,"Porplyzia, Jason",4,21,8,12,33,8.25,1.0,,,6.0,4.0,7.0,2.0,7.0,2.0,2.0,,16.0,18,1.0,,3,,1.0,48.5,2/1
8,"Johnston, Lewis",2,15,5,6,21,10.5,4.0,,,5.0,,5.0,1.0,3.0,2.0,1.0,,5.0,14,1.0,3.0,3,,1.0,70.0,0/1
35,"McKernan, Shaun",2,10,3,11,21,10.5,1.0,1.0,12.0,3.0,,6.0,1.0,4.0,2.0,2.0,,11.0,10,1.0,2.0,2,,,85.5,
28,"Ellis-Yolmen, Cam",1,2,1,3,5,5.0,,,,,,,,,,,,,5,,,1,1.0,,26.0,1/0
